Date,Open,High,Low,Close,Adj Close,Volume
2020-04-15,75.400002,78.699997,71.949997,72.900002,72.900002,81121081
2020-04-16,71.750000,75.400002,71.000000,74.650002,74.650002,47910164
2020-04-17,78.300003,78.300003,74.699997,76.849998,76.849998,58333485
2020-04-20,76.849998,83.400002,75.500000,80.449997,80.449997,125425355
2020-04-21,78.000000,78.000000,74.000000,74.650002,74.650002,58248325
2020-04-22,74.449997,76.550003,72.550003,75.900002,75.900002,56529293
2020-04-23,76.750000,78.650002,75.400002,75.650002,75.650002,50366856
2020-04-24,75.000000,76.900002,74.000000,74.199997,74.199997,40047438
2020-04-27,75.900002,76.199997,74.800003,75.250000,75.250000,27835340
2020-04-28,75.650002,78.199997,75.199997,76.949997,76.949997,34825405
2020-04-29,77.449997,79.300003,76.550003,78.150002,78.150002,40784783
2020-04-30,85.949997,93.750000,85.949997,93.250000,93.250000,170634033
2020-05-04,87.000000,87.199997,81.500000,83.900002,83.900002,91159477
2020-05-05,86.000000,86.800003,80.400002,80.900002,80.900002,57122148
2020-05-06,81.550003,83.949997,80.349998,83.199997,83.199997,53739248
2020-05-07,82.900002,84.650002,82.099998,82.500000,82.500000,31159970
2020-05-08,84.500000,84.949997,80.550003,81.050003,81.050003,35362751
2020-05-11,81.449997,90.650002,81.400002,86.099998,86.099998,152588401
2020-05-12,85.949997,87.699997,83.500000,86.199997,86.199997,77551590
2020-05-13,92.500000,92.500000,86.250000,87.199997,87.199997,68086031
2020-05-14,83.949997,85.300003,82.550003,83.800003,83.800003,46340453
2020-05-15,84.699997,85.349998,82.800003,84.349998,84.349998,38592209
2020-05-18,84.500000,84.500000,79.599998,80.650002,80.650002,44221170
2020-05-19,82.500000,85.650002,81.500000,81.800003,81.800003,65378983
2020-05-20,81.250000,84.400002,80.699997,83.449997,83.449997,36351053
2020-05-21,83.099998,85.199997,82.900002,84.099998,84.099998,37290144
2020-05-22,83.400002,83.900002,82.000000,82.800003,82.800003,29252676
2020-05-26,83.900002,85.699997,82.599998,83.099998,83.099998,38014864
2020-05-27,84.099998,86.000000,84.000000,84.550003,84.550003,57947903
2020-05-28,86.000000,88.150002,84.550003,87.000000,87.000000,96179680
2020-05-29,85.550003,87.500000,84.650002,87.000000,87.000000,80813537
2020-06-01,88.900002,91.199997,88.000000,89.550003,89.550003,71070852
2020-06-02,90.000000,97.300003,89.750000,96.500000,96.500000,125407771
